Team,Season,Active Payroll,Win Rate,Playoff Wins,Playoff Score
NSH,2022-23,54592542,0.561,,0
NSH,2023-24,71113431,0.604,2,1
NYI,2012-13,19221038,0.573,2,1
NYI,2013-14,32997769,0.482,,0
NYI,2014-15,60161935,0.616,3,1
NYI,2015-16,66359590,0.61,5,2
NYI,2016-17,69542500,0.573,,0
NYI,2017-18,65228044,0.488,,0
NYI,2018-19,70135783,0.628,4,1
NYI,2019-20,88231449,0.588,13,3
NYI,2020-21,66762488,0.634,11,3
NYI,2021-22,82401500,0.512,,0
NYI,2022-23,74345946,0.567,2,1
NYI,2023-24,81561557,0.573,1,1
NYR,2012-13,41364998,0.583,5,2
NYR,2013-14,60255372,0.585,13,4
NYR,2014-15,75461939,0.689,11,3
NYR,2015-16,78032590,0.616,1,1
NYR,2016-17,76425296,0.622,6,2
NYR,2017-18,47674377,0.47,,0
NYR,2018-19,58487162,0.476,,0
NYR,2019-20,73791337,0.564,0,0
NYR,2020-21,74368776,0.536,,0
NYR,2021-22,67274279,0.671,10,3
NYR,2022-23,77725854,0.652,3,1
NYR,2023-24,84629594,0.695,10,3
OTT,2012-13,26631648,0.583,5,2
OTT,2013-14,56659818,0.537,,0
OTT,2014-15,54190901,0.604,2,1
OTT,2015-16,54190901,0.518,,0
OTT,2016-17,69056180,0.598,11,3
OTT,2017-18,48770602,0.409,,0
OTT,2018-19,38300470,0.39,,0
OTT,2019-20,41431285,0.437,,0
OTT,2020-21,43351652,0.455,,0
OTT,2021-22,41357155,0.445,,0
OTT,2022-23,53098855,0.524,,0
OTT,2023-24,67250568,0.476,,0
PHI,2012-13,47565853,0.51,,0
PHI,2013-14,68404472,0.573,3,1
PHI,2014-15,68356544,0.512,,0
PHI,2015-16,62968967,0.585,2,1
PHI,2016-17,69463100,0.537,,0
PHI,2017-18,74475693,0.598,2,1
PHI,2018-19,59325979,0.5,,0
PHI,2019-20,78845606,0.645,10,2
PHI,2020-21,64382961,0.518,,0
PHI,2021-22,59673943,0.372,,0
PHI,2022-23,52301899,0.457,,0
PHI,2023-24,58697403,0.53,,0
PIT,2012-13,44787622,0.75,8,3
PIT,2013-14,75560000,0.665,7,2
PIT,2014-15,69170858,0.598,1,1
PIT,2015-16,61841612,0.634,16,5
PIT,2016-17,66001720,0.677,16,5
PIT,2017-18,75304062,0.61,6,2
PIT,2018-19,71958940,0.61,0,1
PIT,2019-20,79854844,0.623,1,0
PIT,2020-21,72397453,0.688,2,1
PIT,2021-22,77396181,0.628,3,1
PIT,2022-23,76122456,0.555,,0
PIT,2023-24,67764445,0.537,,0
SEA,2021-22,57367075,0.366,,0
SEA,2022-23,61704486,0.61,7,2
SEA,2023-24,80291136,0.494,,0
SJS,2012-13,40983779,0.594,7,2
SJS,2013-14,63560000,0.677,3,1
SJS,2014-15,54432849,0.543,,0
SJS,2015-16,65605267,0.598,14,4
SJS,2016-17,70215560,0.604,2,1
SJS,2017-18,65310217,0.61,6,2
SJS,2018-19,83973200,0.616,10,3
SJS,2019-20,60266620,0.45,,0
SJS,2020-21,74962046,0.438,,0
SJS,2021-22,66054101,0.47,,0
SJS,2022-23,62575015,0.366,,0
SJS,2023-24,49463699,0.287,,0
STL,2012-13,28344331,0.625,2,1
STL,2013-14,62891667,0.677,2,1
STL,2014-15,63374971,0.665,2,1
STL,2015-16,73197500,0.652,10,3
STL,2016-17,70900000,0.604,6,2
STL,2017-18,62760093,0.573,,0
STL,2018-19,83169344,0.604,16,5
STL,2019-20,84881820,0.662,2,1
STL,2020-21,71626855,0.563,0,1
STL,2021-22,76895000,0.665,6,2
STL,2022-23,68954984,0.494,,0
STL,2023-24,94978264,0.561,,0
TBL,2012-13,42429419,0.417,,0
TBL,2013-14,47714125,0.616,0,1
TBL,2014-15,61754455,0.659,14,4
TBL,2015-16,69049125,0.591,11,3
TBL,2016-17,42130842,0.573,,0
TBL,2017-18,74398290,0.689,11,3
TBL,2018-19,79199712,0.78,0,1
TBL,2019-20,84073050,0.657,18,5
TBL,2020-21,64640185,0.67,16,5
TBL,2021-22,86637500,0.671,14,4
TBL,2022-23,84457542,0.598,2,1
TBL,2023-24,81547038,0.598,1,1
TOR,2012-13,32767074,0.594,3,1
